Time	Address	Band Name	Short Bio
11:00 - 12:00	1 Osborne Rd	No Idea	Pop RnB Jams
11:30 - 12:00	7 Griggs Terrace	Mike Barrasso	Natural. Energetic. Smooth
12:00 - 12:30	96 Winchester St	A Big Hat	A Big Hat
12:00 - 12:30	73 Fuller St	Ukulele Summers	
12:00 - 1:00	32 Russell St	Don't Call Me Lizz + Ethan Franklin and Friends	Alternative Pop Rock
12:00 - 1:00	1550 Beacon St	Amory	Indie Folk Rock
12:00 - 1:00	5 Verndale St	Granite City Stoop Strummers	Acoustic Americana
12:00 - 1:00	197 Fuller St	Aiden Kawada	Songwriter, Vocalist, Producer
12:00 - 1:00	14 Griggs Terrace	Similar Jones	High-Energy Vocal Band
12:00 - 1:00	12 Greenough St	Collective Measures A Capella.	A Cappella Group
12:00 - 1:00	85 Stanton Rd	Orquestro do Gigantes Vermelho (Red Giant Orchestra)	Brazilian Choro Ensemble
12:00 - 1:00	62 Toxteth St	Danny Schwindinger	Jaunty, Acoustic, Relatable
12:00 - 1:00	39 Eliot Crescent #3	Sal de la Isla	Boricua. Faithful. Acoustic.
12:00 - 1:00	88 Williston Rd	The Hip Replacements	Jazz
12:00 - 1:30	58 Davis Ave	The Sharp Nines	Jazz. Horns. Power.
12:00 - 2:00	102 Stearns Rd	Tio Rojo	Rock and Soul
12:15 - 1:45	33 Weybridge Ln	Jenny Jumpstart	Original, Indie, Country
12:30 - 1:30	73 Linden St	Caboose	Indie Folk Music
12:45 - 1:45	188 Winchester St #2	Corinna Parrish	Introspective Fruit Rock
12:45 - 2:15	73 Fuller St	The After Jam	Ukulele Jazz Ensemble
1:00 - 1:30	1 Osborne Rd	Mike Sempert	Indie Rock
1:00 - 1:30	1485 Beacon St	Asamuri	Jrock Cover Band
1:00 - 2:00	81 Verndale St	Lateral Collateral	Classic and Alt Rock
1:00 - 2:00	69 Columbia St	Sweetbrier	Traditional Folk Americana
1:00 - 2:00	37 Stanton Rd	The Heather Mumford Project	Country, Blues, Americana
1:00 - 2:00	382 Walnut St	Craig Sonnenfeld	Singer-Songwriter, Guitarist.
1:00 - 2:00	361 Washington St	The Strummerville Ukulele Club	Ukulele Joy!
1:00 - 2:00	38 Cumberland Ave	Klez Encounters	Traditional Klezmer.
1:00 - 3:00	162 Mason Terrace	Boston Modular Meetup	Ambient Electronic Music
1:00 - 3:00	100 Tappan St	The Beacons	Classic Rock Across 4 Decades
1:00 - 3:00	93 Evans Rd	PlantHouse	Fun, Prepared, Variety
1:15 - 2:15	1550 Beacon St	Roam Kid Roam	Soul-Food Folk
1:15 - 2:15	111 Babcock St	Dog Town	Energetic, Eclectic, Accessible
1:15 - 2:15	700 Brookline Ave	TOKYO TRAMPS	Original Blues/Rock Unit
1:30 - 2:15	41 Osborne Rd	Blinn & The Breakdown	2000s Alt Pop
1:30 - 2:30	135 Davis Ave	The Kelliher's	Fun, Friendly, Unique
1:45 - 2:15	1485 Beacon St	Sym_DJ	Queer Alternative Groove and Dance
1:45 - 2:45	1398 Beacon St	Glanzer Mar	Honest. Dynamic. Nostalgic.
2:00 - 3:00	86 Verndale St	Pyramid Scheme	Atmospheric Instrumental Rock
2:00 - 3:00	297 Mason Terrace	Polar Vortex	Horn Driven Jazz
2:00 - 3:00	188 Winchester St #2	The Wiggly Tendrils	Chamber Pop Songs
2:00 - 3:00	56 Griggs Rd	MotherPlucker Brothers	Acoustic Rockin' Folk
2:00 - 3:00	85 Stanton Rd	Billboard Top Folksy	Pop Favorites, Acousticized
2:00 - 3:00	30 St. Paul St	Eva Ullmann	Powerhouse, Bubbly, Dynamic
2:00 - 3:00	73 Linden St	Late Start	Three-Person Guitar Band
2:00 - 3:00	38 Harrison St	Broadband	All-Treble A Cappella
2:00 - 3:00	1773 Beacon St	Brookline Symphony Orchestra	Classical Chamber Music
2:00 - 3:15	45 Russell St	Morningside Messengers	Energetic, Groovy, Fun
2:00 - 3:30	33 Weybridge Ln	Lemonshiners	Homespun Psychedelic Bluegrass
2:00 - 4:00	112 Centre St	CCB-Sides	Soulful, Acoustic, Spirited
2:00 - 4:00	66 Perry St	Ricardo Barraza	Fun Acoustic Covers
2:15 - 2:45	266 Clark Rd	Amilia and the Crispy Nuggets	Crispy Fun Vibes
2:15 - 3:00	43 Abbottsford Rd	Tusken and the Raiders	Pop Rock Funk
2:15 - 3:15	382 Walnut St	Junko Ogawa & Frank Albani with special guest Branson Bofat	Classic Rock Duo
2:30 - 3:00	1485 Beacon St	SOULO	Queer Rock Indie
2:30 - 3:30	111 Babcock St	John Lebanon	Dynamic Indie Folk
2:30 - 3:30	73 Fuller St	Johanna	Powerful Emotional Loud
2:30 - 3:30	68 Davis Ave	filet of soul	Finding Our Groove
2:30 - 3:30	700 Brookline Ave	Kungíz	Fun, Up-Beat, Danceable
2:30 - 3:30	130 Dean Rd	Washington Square Jazz Quartet	Jazz Swing Standards
2:45 - 3:45	39 Eliot Crescent #3	The Midcentury Modern Quintet	Small Jazz Combo
3:00 - 4:00	81 Verndale St	13 Down Below	Chicago and Modern Blues
3:00 - 4:00	64 University Rd	Target Practice	Energetic Girl Band
3:00 - 4:00	23 Harris St	Not Dead Yet	Rock/Alt-Rock Cover Band
3:00 - 4:00	37 Stanton Rd	Gliss Girls	Minimalist Thrift Pop
3:00 - 4:00	81 Toxteth St	Vices Inc	Fun Music Fun
3:00 - 4:00	266 Clark Rd	Almost Friday	Upbeat Rock Pop
3:00 - 4:00	88 Williston Rd	Luis Reyes Quintet	Progressive Contemporary Jazz
3:00 - 4:00	808 Washington St	Abby Volta	Alt Gothic Rock
3:00 - 4:30	14 Griggs Terrace	RnB3	Jazzy Bluesy R&B
3:00 - 5:00	1398 Beacon St	Adults	Allston Rock, Mellow
3:00 - 5:00	32 Kennard Rd	The Newtalians	Italian Songs Reimagined.
3:00 - 5:00	135 Davis Ave	Charlie & Friends	Fun for All!
3:15 - 3:45	100 Tappan St	Tracy Jack Reed	
3:15 - 3:45	1485 Beacon St	Dogwhite	Hard Rock Band
3:15 - 4:15	43 Abbottsford Rd	State Parque	Indie Surf Rock
3:15 - 4:15	89 St. Paul St	Muddy River Drifters	Old-Time, Traditional, String Band
3:15 - 5:00	32 Russell St	The Martones (aka Tom Marton and Friends)	Pop/Swing/Rock
3:30 - 4:00	382 Walnut St	Benjamin Fortier	Ambient Post-Rock
3:30 - 4:00	40 Aspinwall Ave	SoundMindz	Eclectic, Funky, Fusion
3:30 - 4:30	21 Weybridge Rd	Flamenco	Dance, Guitar, Song
3:30 - 4:30	256 Tappan St	Raine and Jade	Cool and Musically Adventurous
3:45 - 4:45	130 Dean Rd	Nasuree Van Gelder Band	Powerful, Authentic, Energetic
4:00 - 4:30	1485 Beacon St	Log	Energetic Synth Rock
4:00 - 4:30	700 Brookline Ave	Boston Ostinatos	World, Classical, Jazz
4:00 - 4:45	85 Stanton Rd	PJ Childs	Nostalgic, Honest, Warm
4:00 - 5:00	58 Verndale St	Doñ Swayze	Americana Rock
4:00 - 5:00	Franklin St & Rice St	Grateful Dads	Classic Rock Jams
4:00 - 5:00	73 Linden St	The Angelbreakers	Dance-Punk Trio
4:00 - 5:00	38 Harrison St	Hatchback	Rock Classics Yeah
4:00 - 5:00	39 Eliot Crescent #3	Station Street	Brookline Jazz Band
4:00 - 6:00	285 Clark Rd	Jay Ottaway and the Ramble	Acoustic-Based Americana
4:15 - 4:45	40 Aspinwall Ave	Rippin Gorillaz	Unstoppable Electric and Fearless
4:15 - 5:15	23 Harris St	Mémé	Witty, Upbeat, Passionate
4:15 - 5:15	808 Washington St	On Tap	Energetic Rock Covers
4:30 - 5:00	43 Abbottsford Rd	washaway	Gloomy Indie Electronic
4:30 - 5:00	7 Griggs Terrace	Cami & Logan	Soulful, Acoustic, Technical
4:30 - 5:30	37 Stanton Rd	The Double Lives	Creative. Energetic. Rock.
5:00 - 5:30	81 Verndale St	The Local Enigma	Psychedelic, Unique, Kickass
5:00 - 6:00	45 Russell St	Oak.Land	Dance Pop Rap
5:30 - 6:00	23 Harris St	The C-Section	Chaotic, Groovy, Joyful
5:45 - 6:30	81 Verndale St	Roundabouts	Beat Goes Round
